nome;score;peso;data_nascimento;nome_da_mãe;data_nascimento_da_mãe;telefone;cpf;endereco;email;ocupacao;renda_mensal;status_cadastro;data_cadastro
Rafaela Lopes;42;62.25;29/04/1959;Larissa Gonçalves;23/03/1962;+55 (071) 4909 3479;716.489.350-01;Trecho Ana Luiza Moreira, 842, Vieira do Oeste - PE;enzo77@hotmail.com;Judoca;3084.39;inativo;10/11/2024
Srta. Olivia da Mata;9;77.38;22/03/1961;Júlia Barros;13/12/1978;+55 61 0996 7005;120.479.863-03;Viela Luiza da Rosa, 300, Cunha da Prata - CE;davi99@novaes.net;Gerente de banco;5450.08;ativo;04/07/2024
Lorena Silveira;72;50.56;29/10/2001;Kamilly Moreira;04/08/1982;+55 (071) 3507 5648;924.017.658-67;Parque Barbosa, 87, Moura - GO;correiamarcela@nogueira.br;Profissional de reciclagem;9010.08;ativo;07/07/2023
Sr. Luigi Farias;37;80.34;11/12/1985;Valentina Nascimento;15/01/1984;(071) 7072 2688;012.763.485-17;Campo Nathan Castro, 461, Pires - PR;ana-sophia14@nunes.com;Técnico em documentação;12573.45;inativo;10/10/2023
Pedro Henrique Nogueira;10;58.48;23/07/1991;Isabelly da Rosa;13/01/1976;0300-200-6311;726.195.834-46;Praça Sofia das Neves, 74, Costa - PA;ccaldeira@farias.br;Tecnólogo em papel e celulose;4369.4;ativo;22/02/2023
Luiz Fernando Rezende;19;59.91;07/02/1992;Maria Eduarda Costela;10/01/1936;+55 21 6279 3077;125.349.607-25;Esplanada Bárbara Lima, 245, Rodrigues - RN;mda-luz@gmail.com;Continuista;4961.24;pendente;22/11/2024
Luiz Felipe Fernandes;70;87.95;04/06/1984;Sarah Gomes;25/05/1973;0900-970-6832;640.753.291-43;Distrito de Porto, 102, Fernandes do Campo - RS;xnovaes@porto.br;Clarinetista;9093.51;ativo;16/12/2023
Dra. Marcela Pinto;4;58.25;30/04/1978;Pietra Souza;03/11/1948;+55 (061) 4306 6659;615.827.430-53;Sítio da Mota, 252, da Rosa de da Rocha - RR;caua65@da.com;Almirante;12531.54;inativo;12/10/2024
Caroline Jesus;35;82.75;16/11/1979;Lara Teixeira;06/08/1936;+55 21 2849-2634;843.901.726-03;Estrada Clarice Santos, 973, Cunha - PB;omonteiro@uol.com.br;Diagramador;7793.99;inativo;16/09/2024
Vinicius Nascimento;10;67.78;25/03/1977;Júlia Freitas;20/10/1930;(061) 5011-6417;518.602.473-26;Estação Luiz Gustavo Ribeiro, 77, da Cunha de Freitas - PR;saleshelena@barros.com;Jangadeiro;3093.66;pendente;15/10/2023
Dra. Melissa Carvalho;32;98.51;22/03/1957;Natália da Cruz;12/12/1950;11 0792-7568;905.124.876-85;Viela Noah Alves, 112, Barros da Mata - SE;aragaobeatriz@melo.com;Perito criminal;12496.42;inativo;03/05/2024
Benjamin Cardoso;0;68.82;15/05/2004;Maria Julia Pires;14/10/1961;+55 41 7641-1970;203.614.587-62;Alameda Silveira, 505, Moraes - RJ;freitasmurilo@hotmail.com;Fisioterapeuta;6991.36;ativo;08/04/2024
Lorenzo Duarte;63;69.09;04/03/1978;Camila Almeida;17/12/1947;11 9840 7094;291.846.035-42;Morro Teixeira, 663, Vieira de Sales - AC;zrodrigues@castro.br;Personal trainer;8614.99;ativo;31/05/2023
Marina Almeida;28;74.13;04/09/1968;Dra. Valentina Lima;18/11/1969;+55 31 7453-9384;386.741.592-73;Núcleo Davi Luiz da Mata, 980, Silva - GO;lucas72@oliveira.com;Engenheiro de supply chain ou logística;7246.41;pendente;16/01/2025
Emilly da Rosa;14;89.25;21/10/1959;Beatriz Farias;13/06/1975;84 2367 4656;629.584.713-73;Passarela de Cavalcanti, 827, Ferreira de Moura - TO;carlos-eduardodias@da.br;Timoneiro;7900.14;ativo;24/12/2024
Marcos Vinicius Rezende;34;88.5;22/05/2001;Beatriz Novaes;31/05/1934;(021) 4365-8146;271.583.690-21;Fazenda Maria Clara Gomes, 973, Barros da Prata - SP;gomesnicole@almeida.br;Ferramenteiro;7163.38;inativo;10/03/2023
Sr. João Pedro Fogaça;40;97.82;19/07/1966;Agatha Moraes;13/11/1976;+55 (051) 1762 8660;364.795.810-75;Trecho Freitas, 255, da Conceição do Norte - RS;lara07@da.com;Geradorista;5420.87;ativo;02/02/2025
Fernando Pinto;29;72.77;24/02/1965;Dra. Luana Sales;18/09/1963;0300 135 8562;173.569.840-75;Largo de Araújo, 656, Almeida de Ramos - PE;luigivieira@teixeira.com;Taxidermista/Embalsamador;11029.21;inativo;05/07/2024
Srta. Larissa Dias;36;94.39;08/04/1959;Evelyn da Conceição;29/05/1934;+55 31 4402 6344;896.570.413-84;Via Nascimento, 121, da Cunha - MT;joao-felipe56@hotmail.com;Assessor parlamentar;3670.17;ativo;14/12/2024
Isabelly da Rocha;85;74.41;04/07/1990;Ana Rezende;10/03/1981;+55 81 6650-9809;940.687.235-83;Fazenda de da Rosa, 101, Campos da Serra - TO;stellajesus@bol.com.br;Engenheiro petroquímico;13491.38;pendente;16/11/2023
Arthur Pires;5;99.61;28/06/1972;Dra. Isabelly Peixoto;26/11/1978;(071) 3473 6768;046.897.321-40;Favela Luigi Nunes, 221, da Costa - TO;wvieira@campos.com;Enfermeiro;13192.5;pendente;22/02/2023
Sr. João Gabriel Cardoso;5;56.22;01/01/1946;Rafaela da Paz;17/08/1969;0900 902 1835;480.329.176-40;Aeroporto Ryan Cardoso, 931, Viana das Pedras - ES;ldias@araujo.br;Tesoureiro;5387.85;inativo;15/05/2023
Dr. Rodrigo Alves;67;77.68;07/02/1945;Dra. Maria Sophia Almeida;04/12/1968;+55 (011) 0281 0194;692.735.184-19;Sítio Thiago Viana, 120, Rodrigues - MS;bviana@da.com;Taxista;9628.37;pendente;22/03/2023
Diogo Correia;33;82.2;09/08/1986;Bruna Castro;23/07/1960;(061) 5575 7200;730.459.816-66;Praça de Pires, 994, Gomes da Praia - PE;tbarros@gmail.com;Almoxarife;6856.29;pendente;16/05/2023
Dr. Enzo Gabriel Duarte;33;57.0;27/12/1978;Maria Julia Barros;13/11/1968;71 8408-8395;953.780.462-38;Lagoa Farias, 402, Costela - CE;renan09@hotmail.com;Leão de chácara;12960.82;pendente;23/09/2024
João Lucas Porto;95;68.0;03/03/1995;Júlia da Paz;05/07/1967;+55 41 6714-4505;479.182.506-30;Favela Souza, 125, Peixoto Grande - PA;galmeida@uol.com.br;Jogador de vôlei;14619.34;pendente;29/02/2024
Daniela Cardoso;52;65.16;20/08/1985;Camila Aragão;02/08/1978;+55 (031) 9934-8416;140.825.679-76;Vale Bruno Ribeiro, 142, Teixeira da Serra - DF;pmendes@campos.br;Triatleta;3088.27;pendente;15/03/2023
Dr. Luiz Henrique Silva;70;51.31;25/08/2004;Vitória da Rosa;11/07/1938;+55 61 9578-5696;639.187.504-93;Parque de Ferreira, 720, Fernandes - MG;enzo-gabrielda-rosa@yahoo.com.br;Serralheiro;14104.37;inativo;06/03/2024
Clara Melo;57;65.39;27/04/1968;Maria Cecília da Luz;12/12/1968;0500 129 6104;530.846.917-20;Lago Costela, 509, Araújo - RO;maria-vitoria01@gmail.com;Geofísico;3031.21;ativo;10/04/2024
Isabel Duarte;58;86.4;13/02/1952;Marina Nogueira;23/11/1976;0300 892 0451;605.237.941-34;Parque de Almeida, 741, Fogaça de Minas - MT;cpereira@correia.br;Bailarina;3318.99;pendente;07/02/2024
Pedro Henrique Peixoto;12;60.08;27/09/1996;Srta. Bruna Cunha;17/11/1946;41 6895-6747;951.863.740-75;Quadra de da Rocha, 177, Santos do Galho - RR;silvaevelyn@ig.com.br;Vistoriador de sinistros;9824.87;pendente;13/12/2024
Bruno Nogueira;77;70.37;20/11/1953;Catarina Aragão;11/04/1964;11 1702 4049;425.067.938-10;Recanto da Cunha, 591, Monteiro - RN;nrezende@da.com;Investigador de Polícia;8641.86;inativo;28/09/2024
Antônio Peixoto;80;73.54;19/06/1944;Letícia da Cruz;19/11/1957;(011) 7738-7100;962.150.783-95;Parque de da Paz, 997, das Neves - RR;yuri91@souza.com;Endocrinologista;2696.53;ativo;17/10/2023
Maysa Peixoto;86;65.75;12/07/1987;Marina Nunes;25/06/1940;61 5236-1066;530.786.214-80;Ladeira de Fernandes, 997, da Rocha - RR;otavio63@yahoo.com.br;Operador de vídeo;7317.58;inativo;15/05/2024
Joana Castro;59;75.91;13/11/1991;Pietra Sales;29/10/1964;+55 41 5926 4001;129.507.348-04;Estação Castro, 682, Aragão - TO;maria22@hotmail.com;Editor de mesa de corte;11759.82;inativo;01/11/2023
Mariane Monteiro;65;84.43;27/02/1989;Olivia Barros;31/05/1929;+55 (051) 1546 8926;380.946.752-92;Distrito Vieira, 117, Pereira - SC;flopes@das.br;Representante comercial;9943.72;ativo;06/02/2024
Lara da Conceição;66;94.8;05/08/1979;Ana Luiza Santos;24/07/1976;0800 295 5673;274.358.901-97;Travessa Mariane Lima, 847, Porto da Praia - RN;ana-carolina18@pinto.br;Militar da Marinha;6230.19;pendente;06/11/2024
João Guilherme Gomes;39;63.92;16/07/1978;Maria Duarte;23/03/1940;+55 (061) 0508 3797;954.706.231-06;Passarela Diego Peixoto, 111, das Neves - BA;sfarias@castro.net;Lutador de kung fu;9255.16;ativo;09/09/2024
Dr. Luiz Otávio Viana;4;76.39;10/01/1955;Heloísa Lima;05/08/1941;+55 (084) 5946 4294;718.042.396-31;Área de Freitas, 533, Lopes do Sul - AC;isabelpeixoto@uol.com.br;Ecólogo;13483.6;ativo;02/09/2024
Fernanda Barbosa;75;61.72;07/02/1964;Marina Araújo;13/04/1934;+55 (021) 7159-5890;518.729.340-05;Residencial de Vieira, 910, Fernandes de Goiás - SP;mendesnicolas@cavalcanti.com;Capelão;6311.62;ativo;17/10/2023
Caio Cardoso;9;97.71;14/10/1999;Júlia Alves;10/03/1980;+55 11 8970-4563;354.716.982-82;Alameda Davi Caldeira, 838, Dias - RS;biancafogaca@gmail.com;Cameraman;6511.92;pendente;10/07/2024
Sr. Alexandre da Cunha;56;69.78;03/06/1996;Maria Vitória Silveira;18/04/1969;+55 21 7626-6765;793.856.201-77;Ladeira Costa, 698, Carvalho de Minas - TO;diogocardoso@uol.com.br;Baterista;6964.52;ativo;06/02/2025
Pietro Lima;43;95.21;07/07/1975;Cecília Moraes;23/07/1927;(011) 7739-5755;782.314.695-91;Trecho Benício Azevedo, 37, Teixeira do Galho - PI;juliana61@gmail.com;Artista/Técnico em espetáculos de diversões;4245.21;ativo;21/07/2024
Sr. Davi Martins;25;51.88;13/11/1980;Luana Correia;05/02/1979;(061) 7284-9080;712.589.430-50;Passarela Cavalcanti, 537, Pinto - BA;sophierocha@costela.com;Coach;2118.5;pendente;14/11/2024
Maria Fernanda Pinto;28;70.63;01/09/1976;Melissa Nogueira;21/08/1977;41 4950 6802;264.917.583-46;Vereda da Mota, 775, Lopes - RS;vpeixoto@almeida.net;Laboratorista;2671.26;pendente;05/01/2025
Igor Monteiro;59;75.38;22/05/1945;Mariane Lopes;10/01/1925;11 7431-9177;069.413.528-33;Travessa Fernandes, 924, Rezende - RJ;martinscaroline@yahoo.com.br;Cambista;4307.81;pendente;17/01/2024
Dr. Noah Barbosa;22;97.73;17/11/1972;Alana Pires;03/02/1963;0900 686 9957;903.768.125-59;Praia Isaac Oliveira, 258, Silva - RO;vitor-gabrielaragao@hotmail.com;Nefrologista;6628.61;ativo;01/05/2024
Maria Vitória Ramos;72;90.11;25/03/1986;Dra. Fernanda Nascimento;25/04/1976;+55 41 6504-2014;768.523.140-90;Condomínio Caldeira, 751, Sales - RO;davi-lucasgoncalves@yahoo.com.br;Maestro;2723.98;ativo;23/12/2024
Emanuel Alves;50;85.26;05/06/1955;Yasmin da Luz;29/11/1976;11 6440-1826;609.187.543-48;Rodovia Melo, 48, Silva Verde - PR;augusto27@da.br;Jogador de vôlei;10492.82;inativo;01/05/2023
Vinicius Moura;79;84.13;25/04/2003;Isadora Cardoso;28/04/1983;+55 (081) 6030-0945;482.190.563-98;Lago Enrico Caldeira, 675, Novaes - ES;lopesnina@uol.com.br;Líder comunitário;3401.6;ativo;07/05/2024
Dr. Yago Silveira;83;53.81;31/07/1993;Yasmin Sales;27/06/1964;11 4371 8572;397.856.024-00;Alameda de Gonçalves, 480, Ramos - MG;emanuellyda-rosa@silveira.br;Bombeiro;14541.44;ativo;21/03/2024
Danilo Melo;97;61.28;07/08/1973;Emanuella Fernandes;14/08/1925;0900-904-0136;138.645.079-01;Vila Freitas, 72, Barros - RN;joao-pedro52@gmail.com;Profissional de relacionamento com investidores RI;2557.29;inativo;22/08/2024
